,date,year,month,region,country,no_of_visitor_arrivals,decade,season
7183,1999-12-01,1999,12,Asia,Kuwait,181,90s,Northeast Monsoon (Dec-Feb)
7184,1999-12-01,1999,12,Asia,United Arab Emirates,1485,90s,Northeast Monsoon (Dec-Feb)
7185,1999-12-01,1999,12,Europe,United Kingdom,27688,90s,Northeast Monsoon (Dec-Feb)
7186,1999-12-01,1999,12,Europe,Germany,12329,90s,Northeast Monsoon (Dec-Feb)
7187,1999-12-01,1999,12,Europe,France,5349,90s,Northeast Monsoon (Dec-Feb)
7188,1999-12-01,1999,12,Europe,Italy,2361,90s,Northeast Monsoon (Dec-Feb)
7189,1999-12-01,1999,12,Europe,Netherlands,4928,90s,Northeast Monsoon (Dec-Feb)
7190,1999-12-01,1999,12,Europe,Greece,1240,90s,Northeast Monsoon (Dec-Feb)
7191,1999-12-01,1999,12,Europe,Belgium-luxembourg,1625,90s,Northeast Monsoon (Dec-Feb)
7192,1999-12-01,1999,12,Europe,Switzerland,3836,90s,Northeast Monsoon (Dec-Feb)
7193,1999-12-01,1999,12,Europe,Austria,1144,90s,Northeast Monsoon (Dec-Feb)
7194,1999-12-01,1999,12,Europe,Scandinavia,6687,90s,Northeast Monsoon (Dec-Feb)
7195,1999-12-01,1999,12,Europe,CIS & Eastern Europe,4500,90s,Northeast Monsoon (Dec-Feb)
7196,1999-12-01,1999,12,Americas,USA,29133,90s,Northeast Monsoon (Dec-Feb)
7197,1999-12-01,1999,12,Americas,Canada,6291,90s,Northeast Monsoon (Dec-Feb)
7198,1999-12-01,1999,12,Oceania,Australia,34663,90s,Northeast Monsoon (Dec-Feb)
7199,1999-12-01,1999,12,Oceania,New Zealand,5178,90s,Northeast Monsoon (Dec-Feb)
7201,2000-01-01,2000,1,Asia,Brunei,4138,00s,Northeast Monsoon (Dec-Feb)
7202,2000-01-01,2000,1,Asia,Indonesia,149528,00s,Northeast Monsoon (Dec-Feb)
7203,2000-01-01,2000,1,Asia,Malaysia,41261,00s,Northeast Monsoon (Dec-Feb)
7204,2000-01-01,2000,1,Asia,Philippines,11809,00s,Northeast Monsoon (Dec-Feb)
7205,2000-01-01,2000,1,Asia,Thailand,15792,00s,Northeast Monsoon (Dec-Feb)
7206,2000-01-01,2000,1,Asia,Vietnam,1698,00s,Northeast Monsoon (Dec-Feb)
7207,2000-01-01,2000,1,Asia,Myanmar,1479,00s,Northeast Monsoon (Dec-Feb)
7208,2000-01-01,2000,1,Asia,Japan,72131,00s,Northeast Monsoon (Dec-Feb)
7209,2000-01-01,2000,1,Asia,Hong Kong,16288,00s,Northeast Monsoon (Dec-Feb)
7210,2000-01-01,2000,1,Asia,"China, People's Republic Of",38887,00s,Northeast Monsoon (Dec-Feb)
7211,2000-01-01,2000,1,Asia,Taiwan,19329,00s,Northeast Monsoon (Dec-Feb)
7212,2000-01-01,2000,1,Asia,"Korea, Republic Of",32621,00s,Northeast Monsoon (Dec-Feb)
7213,2000-01-01,2000,1,Asia,India,22301,00s,Northeast Monsoon (Dec-Feb)
7214,2000-01-01,2000,1,Asia,Pakistan,2598,00s,Northeast Monsoon (Dec-Feb)
7215,2000-01-01,2000,1,Asia,"Sri Lanka, Republic Of",4136,00s,Northeast Monsoon (Dec-Feb)
7216,2000-01-01,2000,1,Asia,Saudi Arabia,1441,00s,Northeast Monsoon (Dec-Feb)
7217,2000-01-01,2000,1,Asia,Kuwait,549,00s,Northeast Monsoon (Dec-Feb)
7218,2000-01-01,2000,1,Asia,United Arab Emirates,1445,00s,Northeast Monsoon (Dec-Feb)
7219,2000-01-01,2000,1,Europe,United Kingdom,33617,00s,Northeast Monsoon (Dec-Feb)
7220,2000-01-01,2000,1,Europe,Germany,15655,00s,Northeast Monsoon (Dec-Feb)
7221,2000-01-01,2000,1,Europe,France,5683,00s,Northeast Monsoon (Dec-Feb)
7222,2000-01-01,2000,1,Europe,Italy,4012,00s,Northeast Monsoon (Dec-Feb)
7223,2000-01-01,2000,1,Europe,Netherlands,6145,00s,Northeast Monsoon (Dec-Feb)
7224,2000-01-01,2000,1,Europe,Greece,1179,00s,Northeast Monsoon (Dec-Feb)
7225,2000-01-01,2000,1,Europe,Belgium-luxembourg,1802,00s,Northeast Monsoon (Dec-Feb)
7226,2000-01-01,2000,1,Europe,Switzerland,4174,00s,Northeast Monsoon (Dec-Feb)
7227,2000-01-01,2000,1,Europe,Austria,1537,00s,Northeast Monsoon (Dec-Feb)
7228,2000-01-01,2000,1,Europe,Scandinavia,8436,00s,Northeast Monsoon (Dec-Feb)
7229,2000-01-01,2000,1,Europe,CIS & Eastern Europe,5499,00s,Northeast Monsoon (Dec-Feb)
7230,2000-01-01,2000,1,Americas,USA,29748,00s,Northeast Monsoon (Dec-Feb)
7231,2000-01-01,2000,1,Americas,Canada,6544,00s,Northeast Monsoon (Dec-Feb)
7232,2000-01-01,2000,1,Oceania,Australia,42006,00s,Northeast Monsoon (Dec-Feb)
7233,2000-01-01,2000,1,Oceania,New Zealand,5728,00s,Northeast Monsoon (Dec-Feb)
7235,2000-02-01,2000,2,Asia,Brunei,3538,00s,Northeast Monsoon (Dec-Feb)
7236,2000-02-01,2000,2,Asia,Indonesia,88342,00s,Northeast Monsoon (Dec-Feb)
7237,2000-02-01,2000,2,Asia,Malaysia,42072,00s,Northeast Monsoon (Dec-Feb)
7238,2000-02-01,2000,2,Asia,Philippines,13111,00s,Northeast Monsoon (Dec-Feb)
7239,2000-02-01,2000,2,Asia,Thailand,16981,00s,Northeast Monsoon (Dec-Feb)
7240,2000-02-01,2000,2,Asia,Vietnam,3073,00s,Northeast Monsoon (Dec-Feb)
7241,2000-02-01,2000,2,Asia,Myanmar,1525,00s,Northeast Monsoon (Dec-Feb)
7242,2000-02-01,2000,2,Asia,Japan,71245,00s,Northeast Monsoon (Dec-Feb)
7243,2000-02-01,2000,2,Asia,Hong Kong,28265,00s,Northeast Monsoon (Dec-Feb)
7244,2000-02-01,2000,2,Asia,"China, People's Republic Of",45148,00s,Northeast Monsoon (Dec-Feb)
7245,2000-02-01,2000,2,Asia,Taiwan,30528,00s,Northeast Monsoon (Dec-Feb)
7246,2000-02-01,2000,2,Asia,"Korea, Republic Of",28932,00s,Northeast Monsoon (Dec-Feb)
7247,2000-02-01,2000,2,Asia,India,21597,00s,Northeast Monsoon (Dec-Feb)
7248,2000-02-01,2000,2,Asia,Pakistan,2944,00s,Northeast Monsoon (Dec-Feb)
7249,2000-02-01,2000,2,Asia,"Sri Lanka, Republic Of",4256,00s,Northeast Monsoon (Dec-Feb)
7250,2000-02-01,2000,2,Asia,Saudi Arabia,680,00s,Northeast Monsoon (Dec-Feb)
7251,2000-02-01,2000,2,Asia,Kuwait,205,00s,Northeast Monsoon (Dec-Feb)
7252,2000-02-01,2000,2,Asia,United Arab Emirates,958,00s,Northeast Monsoon (Dec-Feb)
7253,2000-02-01,2000,2,Europe,United Kingdom,40845,00s,Northeast Monsoon (Dec-Feb)
7254,2000-02-01,2000,2,Europe,Germany,15951,00s,Northeast Monsoon (Dec-Feb)
7255,2000-02-01,2000,2,Europe,France,7644,00s,Northeast Monsoon (Dec-Feb)
7256,2000-02-01,2000,2,Europe,Italy,3335,00s,Northeast Monsoon (Dec-Feb)
7257,2000-02-01,2000,2,Europe,Netherlands,6464,00s,Northeast Monsoon (Dec-Feb)
7258,2000-02-01,2000,2,Europe,Greece,839,00s,Northeast Monsoon (Dec-Feb)
7259,2000-02-01,2000,2,Europe,Belgium-luxembourg,1875,00s,Northeast Monsoon (Dec-Feb)
7260,2000-02-01,2000,2,Europe,Switzerland,4588,00s,Northeast Monsoon (Dec-Feb)
7261,2000-02-01,2000,2,Europe,Austria,1664,00s,Northeast Monsoon (Dec-Feb)
7262,2000-02-01,2000,2,Europe,Scandinavia,9493,00s,Northeast Monsoon (Dec-Feb)
7263,2000-02-01,2000,2,Europe,CIS & Eastern Europe,4298,00s,Northeast Monsoon (Dec-Feb)
7264,2000-02-01,2000,2,Americas,USA,33919,00s,Northeast Monsoon (Dec-Feb)
7265,2000-02-01,2000,2,Americas,Canada,7412,00s,Northeast Monsoon (Dec-Feb)
7266,2000-02-01,2000,2,Oceania,Australia,30932,00s,Northeast Monsoon (Dec-Feb)
7267,2000-02-01,2000,2,Oceania,New Zealand,4447,00s,Northeast Monsoon (Dec-Feb)
7269,2000-03-01,2000,3,Asia,Brunei,3628,00s,Inter-monsoon (Mar-May)
7270,2000-03-01,2000,3,Asia,Indonesia,102620,00s,Inter-monsoon (Mar-May)
7271,2000-03-01,2000,3,Asia,Malaysia,43849,00s,Inter-monsoon (Mar-May)
7272,2000-03-01,2000,3,Asia,Philippines,16490,00s,Inter-monsoon (Mar-May)
7273,2000-03-01,2000,3,Asia,Thailand,22217,00s,Inter-monsoon (Mar-May)
7274,2000-03-01,2000,3,Asia,Vietnam,2457,00s,Inter-monsoon (Mar-May)
7275,2000-03-01,2000,3,Asia,Myanmar,1790,00s,Inter-monsoon (Mar-May)
7276,2000-03-01,2000,3,Asia,Japan,91844,00s,Inter-monsoon (Mar-May)
7277,2000-03-01,2000,3,Asia,Hong Kong,21513,00s,Inter-monsoon (Mar-May)
7278,2000-03-01,2000,3,Asia,"China, People's Republic Of",30644,00s,Inter-monsoon (Mar-May)
7279,2000-03-01,2000,3,Asia,Taiwan,22934,00s,Inter-monsoon (Mar-May)
7280,2000-03-01,2000,3,Asia,"Korea, Republic Of",30682,00s,Inter-monsoon (Mar-May)
7281,2000-03-01,2000,3,Asia,India,23847,00s,Inter-monsoon (Mar-May)
7282,2000-03-01,2000,3,Asia,Pakistan,2950,00s,Inter-monsoon (Mar-May)
7283,2000-03-01,2000,3,Asia,"Sri Lanka, Republic Of",4531,00s,Inter-monsoon (Mar-May)
7284,2000-03-01,2000,3,Asia,Saudi Arabia,1754,00s,Inter-monsoon (Mar-May)
7285,2000-03-01,2000,3,Asia,Kuwait,406,00s,Inter-monsoon (Mar-May)
7286,2000-03-01,2000,3,Asia,United Arab Emirates,1577,00s,Inter-monsoon (Mar-May)
7287,2000-03-01,2000,3,Europe,United Kingdom,42812,00s,Inter-monsoon (Mar-May)
7288,2000-03-01,2000,3,Europe,Germany,16300,00s,Inter-monsoon (Mar-May)
7289,2000-03-01,2000,3,Europe,France,6592,00s,Inter-monsoon (Mar-May)
7290,2000-03-01,2000,3,Europe,Italy,3137,00s,Inter-monsoon (Mar-May)
7291,2000-03-01,2000,3,Europe,Netherlands,6453,00s,Inter-monsoon (Mar-May)
7292,2000-03-01,2000,3,Europe,Greece,908,00s,Inter-monsoon (Mar-May)
7293,2000-03-01,2000,3,Europe,Belgium-luxembourg,1881,00s,Inter-monsoon (Mar-May)
7294,2000-03-01,2000,3,Europe,Switzerland,4090,00s,Inter-monsoon (Mar-May)
7295,2000-03-01,2000,3,Europe,Austria,1614,00s,Inter-monsoon (Mar-May)
7296,2000-03-01,2000,3,Europe,Scandinavia,9274,00s,Inter-monsoon (Mar-May)
7297,2000-03-01,2000,3,Europe,CIS & Eastern Europe,4271,00s,Inter-monsoon (Mar-May)
7298,2000-03-01,2000,3,Americas,USA,36707,00s,Inter-monsoon (Mar-May)
7299,2000-03-01,2000,3,Americas,Canada,7808,00s,Inter-monsoon (Mar-May)
7300,2000-03-01,2000,3,Oceania,Australia,37471,00s,Inter-monsoon (Mar-May)
7301,2000-03-01,2000,3,Oceania,New Zealand,5390,00s,Inter-monsoon (Mar-May)
7303,2000-04-01,2000,4,Asia,Brunei,5527,00s,Inter-monsoon (Mar-May)
7304,2000-04-01,2000,4,Asia,Indonesia,100059,00s,Inter-monsoon (Mar-May)
7305,2000-04-01,2000,4,Asia,Malaysia,47993,00s,Inter-monsoon (Mar-May)
7306,2000-04-01,2000,4,Asia,Philippines,19269,00s,Inter-monsoon (Mar-May)
7307,2000-04-01,2000,4,Asia,Thailand,29985,00s,Inter-monsoon (Mar-May)
7308,2000-04-01,2000,4,Asia,Vietnam,2830,00s,Inter-monsoon (Mar-May)
7309,2000-04-01,2000,4,Asia,Myanmar,1971,00s,Inter-monsoon (Mar-May)
7310,2000-04-01,2000,4,Asia,Japan,60540,00s,Inter-monsoon (Mar-May)
7311,2000-04-01,2000,4,Asia,Hong Kong,29308,00s,Inter-monsoon (Mar-May)
7312,2000-04-01,2000,4,Asia,"China, People's Republic Of",36511,00s,Inter-monsoon (Mar-May)
7313,2000-04-01,2000,4,Asia,Taiwan,27737,00s,Inter-monsoon (Mar-May)
7314,2000-04-01,2000,4,Asia,"Korea, Republic Of",27237,00s,Inter-monsoon (Mar-May)
7315,2000-04-01,2000,4,Asia,India,29317,00s,Inter-monsoon (Mar-May)
7316,2000-04-01,2000,4,Asia,Pakistan,3293,00s,Inter-monsoon (Mar-May)
7317,2000-04-01,2000,4,Asia,"Sri Lanka, Republic Of",7335,00s,Inter-monsoon (Mar-May)
7318,2000-04-01,2000,4,Asia,Saudi Arabia,760,00s,Inter-monsoon (Mar-May)
7319,2000-04-01,2000,4,Asia,Kuwait,233,00s,Inter-monsoon (Mar-May)
7320,2000-04-01,2000,4,Asia,United Arab Emirates,1361,00s,Inter-monsoon (Mar-May)
7321,2000-04-01,2000,4,Europe,United Kingdom,40303,00s,Inter-monsoon (Mar-May)
7322,2000-04-01,2000,4,Europe,Germany,16067,00s,Inter-monsoon (Mar-May)
7323,2000-04-01,2000,4,Europe,France,6714,00s,Inter-monsoon (Mar-May)
7324,2000-04-01,2000,4,Europe,Italy,3143,00s,Inter-monsoon (Mar-May)
7325,2000-04-01,2000,4,Europe,Netherlands,5492,00s,Inter-monsoon (Mar-May)
7326,2000-04-01,2000,4,Europe,Greece,745,00s,Inter-monsoon (Mar-May)
7327,2000-04-01,2000,4,Europe,Belgium-luxembourg,1929,00s,Inter-monsoon (Mar-May)
7328,2000-04-01,2000,4,Europe,Switzerland,4519,00s,Inter-monsoon (Mar-May)
7329,2000-04-01,2000,4,Europe,Austria,1656,00s,Inter-monsoon (Mar-May)
7330,2000-04-01,2000,4,Europe,Scandinavia,7870,00s,Inter-monsoon (Mar-May)
7331,2000-04-01,2000,4,Europe,CIS & Eastern Europe,3615,00s,Inter-monsoon (Mar-May)
7332,2000-04-01,2000,4,Americas,USA,29099,00s,Inter-monsoon (Mar-May)
7333,2000-04-01,2000,4,Americas,Canada,5610,00s,Inter-monsoon (Mar-May)
7334,2000-04-01,2000,4,Oceania,Australia,41391,00s,Inter-monsoon (Mar-May)
7335,2000-04-01,2000,4,Oceania,New Zealand,7992,00s,Inter-monsoon (Mar-May)
7337,2000-05-01,2000,5,Asia,Brunei,4586,00s,Inter-monsoon (Mar-May)
7338,2000-05-01,2000,5,Asia,Indonesia,91843,00s,Inter-monsoon (Mar-May)
7339,2000-05-01,2000,5,Asia,Malaysia,48783,00s,Inter-monsoon (Mar-May)
7340,2000-05-01,2000,5,Asia,Philippines,18790,00s,Inter-monsoon (Mar-May)
7341,2000-05-01,2000,5,Asia,Thailand,21959,00s,Inter-monsoon (Mar-May)
7342,2000-05-01,2000,5,Asia,Vietnam,2246,00s,Inter-monsoon (Mar-May)
7343,2000-05-01,2000,5,Asia,Myanmar,1831,00s,Inter-monsoon (Mar-May)
7344,2000-05-01,2000,5,Asia,Japan,62152,00s,Inter-monsoon (Mar-May)
7345,2000-05-01,2000,5,Asia,Hong Kong,20822,00s,Inter-monsoon (Mar-May)
7346,2000-05-01,2000,5,Asia,"China, People's Republic Of",37934,00s,Inter-monsoon (Mar-May)
7347,2000-05-01,2000,5,Asia,Taiwan,23635,00s,Inter-monsoon (Mar-May)
7348,2000-05-01,2000,5,Asia,"Korea, Republic Of",30739,00s,Inter-monsoon (Mar-May)
7349,2000-05-01,2000,5,Asia,India,43879,00s,Inter-monsoon (Mar-May)
7350,2000-05-01,2000,5,Asia,Pakistan,3199,00s,Inter-monsoon (Mar-May)
7351,2000-05-01,2000,5,Asia,"Sri Lanka, Republic Of",4939,00s,Inter-monsoon (Mar-May)
7352,2000-05-01,2000,5,Asia,Saudi Arabia,734,00s,Inter-monsoon (Mar-May)
7353,2000-05-01,2000,5,Asia,Kuwait,180,00s,Inter-monsoon (Mar-May)
7354,2000-05-01,2000,5,Asia,United Arab Emirates,1115,00s,Inter-monsoon (Mar-May)
7355,2000-05-01,2000,5,Europe,United Kingdom,27903,00s,Inter-monsoon (Mar-May)
7356,2000-05-01,2000,5,Europe,Germany,12535,00s,Inter-monsoon (Mar-May)
7357,2000-05-01,2000,5,Europe,France,5207,00s,Inter-monsoon (Mar-May)
7358,2000-05-01,2000,5,Europe,Italy,2565,00s,Inter-monsoon (Mar-May)
7359,2000-05-01,2000,5,Europe,Netherlands,4978,00s,Inter-monsoon (Mar-May)
7360,2000-05-01,2000,5,Europe,Greece,800,00s,Inter-monsoon (Mar-May)
7361,2000-05-01,2000,5,Europe,Belgium-luxembourg,1445,00s,Inter-monsoon (Mar-May)
7362,2000-05-01,2000,5,Europe,Switzerland,3547,00s,Inter-monsoon (Mar-May)
7363,2000-05-01,2000,5,Europe,Austria,1196,00s,Inter-monsoon (Mar-May)
7364,2000-05-01,2000,5,Europe,Scandinavia,5087,00s,Inter-monsoon (Mar-May)
7365,2000-05-01,2000,5,Europe,CIS & Eastern Europe,3240,00s,Inter-monsoon (Mar-May)
7366,2000-05-01,2000,5,Americas,USA,30033,00s,Inter-monsoon (Mar-May)
7367,2000-05-01,2000,5,Americas,Canada,4919,00s,Inter-monsoon (Mar-May)
7368,2000-05-01,2000,5,Oceania,Australia,38100,00s,Inter-monsoon (Mar-May)
7369,2000-05-01,2000,5,Oceania,New Zealand,7703,00s,Inter-monsoon (Mar-May)
7371,2000-06-01,2000,6,Asia,Brunei,5533,00s,Southwest Monsoon (Jun-Sept)
7372,2000-06-01,2000,6,Asia,Indonesia,105539,00s,Southwest Monsoon (Jun-Sept)
7373,2000-06-01,2000,6,Asia,Malaysia,48426,00s,Southwest Monsoon (Jun-Sept)
7374,2000-06-01,2000,6,Asia,Philippines,14706,00s,Southwest Monsoon (Jun-Sept)
7375,2000-06-01,2000,6,Asia,Thailand,21446,00s,Southwest Monsoon (Jun-Sept)
7376,2000-06-01,2000,6,Asia,Vietnam,3251,00s,Southwest Monsoon (Jun-Sept)
7377,2000-06-01,2000,6,Asia,Myanmar,2062,00s,Southwest Monsoon (Jun-Sept)
7378,2000-06-01,2000,6,Asia,Japan,67977,00s,Southwest Monsoon (Jun-Sept)
7379,2000-06-01,2000,6,Asia,Hong Kong,22011,00s,Southwest Monsoon (Jun-Sept)
7380,2000-06-01,2000,6,Asia,"China, People's Republic Of",30706,00s,Southwest Monsoon (Jun-Sept)
7381,2000-06-01,2000,6,Asia,Taiwan,26582,00s,Southwest Monsoon (Jun-Sept)
7382,2000-06-01,2000,6,Asia,"Korea, Republic Of",25318,00s,Southwest Monsoon (Jun-Sept)
7383,2000-06-01,2000,6,Asia,India,38287,00s,Southwest Monsoon (Jun-Sept)
7384,2000-06-01,2000,6,Asia,Pakistan,3597,00s,Southwest Monsoon (Jun-Sept)
7385,2000-06-01,2000,6,Asia,"Sri Lanka, Republic Of",5121,00s,Southwest Monsoon (Jun-Sept)
7386,2000-06-01,2000,6,Asia,Saudi Arabia,3122,00s,Southwest Monsoon (Jun-Sept)
7387,2000-06-01,2000,6,Asia,Kuwait,451,00s,Southwest Monsoon (Jun-Sept)
7388,2000-06-01,2000,6,Asia,United Arab Emirates,1670,00s,Southwest Monsoon (Jun-Sept)
7389,2000-06-01,2000,6,Europe,United Kingdom,26517,00s,Southwest Monsoon (Jun-Sept)
7390,2000-06-01,2000,6,Europe,Germany,10815,00s,Southwest Monsoon (Jun-Sept)
7391,2000-06-01,2000,6,Europe,France,4839,00s,Southwest Monsoon (Jun-Sept)
7392,2000-06-01,2000,6,Europe,Italy,2540,00s,Southwest Monsoon (Jun-Sept)
7393,2000-06-01,2000,6,Europe,Netherlands,4931,00s,Southwest Monsoon (Jun-Sept)
7394,2000-06-01,2000,6,Europe,Greece,881,00s,Southwest Monsoon (Jun-Sept)
7395,2000-06-01,2000,6,Europe,Belgium-luxembourg,1393,00s,Southwest Monsoon (Jun-Sept)
7396,2000-06-01,2000,6,Europe,Switzerland,2995,00s,Southwest Monsoon (Jun-Sept)
7397,2000-06-01,2000,6,Europe,Austria,969,00s,Southwest Monsoon (Jun-Sept)
7398,2000-06-01,2000,6,Europe,Scandinavia,6294,00s,Southwest Monsoon (Jun-Sept)
7399,2000-06-01,2000,6,Europe,CIS & Eastern Europe,3269,00s,Southwest Monsoon (Jun-Sept)
7400,2000-06-01,2000,6,Americas,USA,32944,00s,Southwest Monsoon (Jun-Sept)
7401,2000-06-01,2000,6,Americas,Canada,4479,00s,Southwest Monsoon (Jun-Sept)
7402,2000-06-01,2000,6,Oceania,Australia,41563,00s,Southwest Monsoon (Jun-Sept)
7403,2000-06-01,2000,6,Oceania,New Zealand,8765,00s,Southwest Monsoon (Jun-Sept)
7405,2000-07-01,2000,7,Asia,Brunei,5448,00s,Southwest Monsoon (Jun-Sept)
7406,2000-07-01,2000,7,Asia,Indonesia,128207,00s,Southwest Monsoon (Jun-Sept)
7407,2000-07-01,2000,7,Asia,Malaysia,43423,00s,Southwest Monsoon (Jun-Sept)
7408,2000-07-01,2000,7,Asia,Philippines,13936,00s,Southwest Monsoon (Jun-Sept)
7409,2000-07-01,2000,7,Asia,Thailand,20357,00s,Southwest Monsoon (Jun-Sept)
7410,2000-07-01,2000,7,Asia,Vietnam,2978,00s,Southwest Monsoon (Jun-Sept)
7411,2000-07-01,2000,7,Asia,Myanmar,1669,00s,Southwest Monsoon (Jun-Sept)
7412,2000-07-01,2000,7,Asia,Japan,84634,00s,Southwest Monsoon (Jun-Sept)
7413,2000-07-01,2000,7,Asia,Hong Kong,30218,00s,Southwest Monsoon (Jun-Sept)
7414,2000-07-01,2000,7,Asia,"China, People's Republic Of",36148,00s,Southwest Monsoon (Jun-Sept)
7415,2000-07-01,2000,7,Asia,Taiwan,35570,00s,Southwest Monsoon (Jun-Sept)
7416,2000-07-01,2000,7,Asia,"Korea, Republic Of",32960,00s,Southwest Monsoon (Jun-Sept)
7417,2000-07-01,2000,7,Asia,India,28127,00s,Southwest Monsoon (Jun-Sept)
7418,2000-07-01,2000,7,Asia,Pakistan,5159,00s,Southwest Monsoon (Jun-Sept)
7419,2000-07-01,2000,7,Asia,"Sri Lanka, Republic Of",5171,00s,Southwest Monsoon (Jun-Sept)
7420,2000-07-01,2000,7,Asia,Saudi Arabia,7175,00s,Southwest Monsoon (Jun-Sept)
7421,2000-07-01,2000,7,Asia,Kuwait,2029,00s,Southwest Monsoon (Jun-Sept)
7422,2000-07-01,2000,7,Asia,United Arab Emirates,4001,00s,Southwest Monsoon (Jun-Sept)
7423,2000-07-01,2000,7,Europe,United Kingdom,34664,00s,Southwest Monsoon (Jun-Sept)
7424,2000-07-01,2000,7,Europe,Germany,11990,00s,Southwest Monsoon (Jun-Sept)
7425,2000-07-01,2000,7,Europe,France,7282,00s,Southwest Monsoon (Jun-Sept)
7426,2000-07-01,2000,7,Europe,Italy,3438,00s,Southwest Monsoon (Jun-Sept)
7427,2000-07-01,2000,7,Europe,Netherlands,7986,00s,Southwest Monsoon (Jun-Sept)
7428,2000-07-01,2000,7,Europe,Greece,1294,00s,Southwest Monsoon (Jun-Sept)
7429,2000-07-01,2000,7,Europe,Belgium-luxembourg,2422,00s,Southwest Monsoon (Jun-Sept)
7430,2000-07-01,2000,7,Europe,Switzerland,4301,00s,Southwest Monsoon (Jun-Sept)
7431,2000-07-01,2000,7,Europe,Austria,1464,00s,Southwest Monsoon (Jun-Sept)
7432,2000-07-01,2000,7,Europe,Scandinavia,8256,00s,Southwest Monsoon (Jun-Sept)
7433,2000-07-01,2000,7,Europe,CIS & Eastern Europe,3726,00s,Southwest Monsoon (Jun-Sept)
7434,2000-07-01,2000,7,Americas,USA,34455,00s,Southwest Monsoon (Jun-Sept)
7435,2000-07-01,2000,7,Americas,Canada,5430,00s,Southwest Monsoon (Jun-Sept)
7436,2000-07-01,2000,7,Oceania,Australia,48583,00s,Southwest Monsoon (Jun-Sept)
7437,2000-07-01,2000,7,Oceania,New Zealand,11535,00s,Southwest Monsoon (Jun-Sept)
7439,2000-08-01,2000,8,Asia,Brunei,6658,00s,Southwest Monsoon (Jun-Sept)
7440,2000-08-01,2000,8,Asia,Indonesia,96891,00s,Southwest Monsoon (Jun-Sept)
7441,2000-08-01,2000,8,Asia,Malaysia,43952,00s,Southwest Monsoon (Jun-Sept)
7442,2000-08-01,2000,8,Asia,Philippines,14168,00s,Southwest Monsoon (Jun-Sept)
7443,2000-08-01,2000,8,Asia,Thailand,19311,00s,Southwest Monsoon (Jun-Sept)
7444,2000-08-01,2000,8,Asia,Vietnam,3227,00s,Southwest Monsoon (Jun-Sept)
7445,2000-08-01,2000,8,Asia,Myanmar,1822,00s,Southwest Monsoon (Jun-Sept)
7446,2000-08-01,2000,8,Asia,Japan,101785,00s,Southwest Monsoon (Jun-Sept)
7447,2000-08-01,2000,8,Asia,Hong Kong,31963,00s,Southwest Monsoon (Jun-Sept)
7448,2000-08-01,2000,8,Asia,"China, People's Republic Of",41162,00s,Southwest Monsoon (Jun-Sept)
7449,2000-08-01,2000,8,Asia,Taiwan,30732,00s,Southwest Monsoon (Jun-Sept)
7450,2000-08-01,2000,8,Asia,"Korea, Republic Of",34877,00s,Southwest Monsoon (Jun-Sept)
7451,2000-08-01,2000,8,Asia,India,26859,00s,Southwest Monsoon (Jun-Sept)
7452,2000-08-01,2000,8,Asia,Pakistan,4237,00s,Southwest Monsoon (Jun-Sept)
7453,2000-08-01,2000,8,Asia,"Sri Lanka, Republic Of",6222,00s,Southwest Monsoon (Jun-Sept)
7454,2000-08-01,2000,8,Asia,Saudi Arabia,5001,00s,Southwest Monsoon (Jun-Sept)
7455,2000-08-01,2000,8,Asia,Kuwait,2971,00s,Southwest Monsoon (Jun-Sept)
7456,2000-08-01,2000,8,Asia,United Arab Emirates,3720,00s,Southwest Monsoon (Jun-Sept)
7457,2000-08-01,2000,8,Europe,United Kingdom,39598,00s,Southwest Monsoon (Jun-Sept)
7458,2000-08-01,2000,8,Europe,Germany,13193,00s,Southwest Monsoon (Jun-Sept)
7459,2000-08-01,2000,8,Europe,France,8442,00s,Southwest Monsoon (Jun-Sept)
7460,2000-08-01,2000,8,Europe,Italy,7709,00s,Southwest Monsoon (Jun-Sept)
7461,2000-08-01,2000,8,Europe,Netherlands,7284,00s,Southwest Monsoon (Jun-Sept)
7462,2000-08-01,2000,8,Europe,Greece,1908,00s,Southwest Monsoon (Jun-Sept)
7463,2000-08-01,2000,8,Europe,Belgium-luxembourg,2291,00s,Southwest Monsoon (Jun-Sept)
7464,2000-08-01,2000,8,Europe,Switzerland,3575,00s,Southwest Monsoon (Jun-Sept)
7465,2000-08-01,2000,8,Europe,Austria,1388,00s,Southwest Monsoon (Jun-Sept)
7466,2000-08-01,2000,8,Europe,Scandinavia,6020,00s,Southwest Monsoon (Jun-Sept)
7467,2000-08-01,2000,8,Europe,CIS & Eastern Europe,3596,00s,Southwest Monsoon (Jun-Sept)
7468,2000-08-01,2000,8,Americas,USA,31776,00s,Southwest Monsoon (Jun-Sept)
7469,2000-08-01,2000,8,Americas,Canada,5884,00s,Southwest Monsoon (Jun-Sept)
7470,2000-08-01,2000,8,Oceania,Australia,44627,00s,Southwest Monsoon (Jun-Sept)
7471,2000-08-01,2000,8,Oceania,New Zealand,8205,00s,Southwest Monsoon (Jun-Sept)
7473,2000-09-01,2000,9,Asia,Brunei,4545,00s,Southwest Monsoon (Jun-Sept)
7474,2000-09-01,2000,9,Asia,Indonesia,94625,00s,Southwest Monsoon (Jun-Sept)
