,date,year,month,region,country,no_of_visitor_arrivals,decade,season
5637,1996-02-01,1996,2,Europe,Belgium-luxembourg,1513,90s,Northeast Monsoon (Dec-Feb)
5638,1996-02-01,1996,2,Europe,Switzerland,4789,90s,Northeast Monsoon (Dec-Feb)
5639,1996-02-01,1996,2,Europe,Austria,2094,90s,Northeast Monsoon (Dec-Feb)
5640,1996-02-01,1996,2,Europe,Scandinavia,8014,90s,Northeast Monsoon (Dec-Feb)
5641,1996-02-01,1996,2,Europe,CIS & Eastern Europe,4136,90s,Northeast Monsoon (Dec-Feb)
5642,1996-02-01,1996,2,Americas,USA,30853,90s,Northeast Monsoon (Dec-Feb)
5643,1996-02-01,1996,2,Americas,Canada,6215,90s,Northeast Monsoon (Dec-Feb)
5644,1996-02-01,1996,2,Oceania,Australia,21396,90s,Northeast Monsoon (Dec-Feb)
5645,1996-02-01,1996,2,Oceania,New Zealand,3645,90s,Northeast Monsoon (Dec-Feb)
5647,1996-03-01,1996,3,Asia,Brunei,4290,90s,Inter-monsoon (Mar-May)
5648,1996-03-01,1996,3,Asia,Indonesia,75483,90s,Inter-monsoon (Mar-May)
5649,1996-03-01,1996,3,Asia,Malaysia,55908,90s,Inter-monsoon (Mar-May)
5650,1996-03-01,1996,3,Asia,Philippines,13487,90s,Inter-monsoon (Mar-May)
5651,1996-03-01,1996,3,Asia,Thailand,23085,90s,Inter-monsoon (Mar-May)
5652,1996-03-01,1996,3,Asia,Vietnam,1605,90s,Inter-monsoon (Mar-May)
5653,1996-03-01,1996,3,Asia,Japan,122188,90s,Inter-monsoon (Mar-May)
5654,1996-03-01,1996,3,Asia,Hong Kong,21981,90s,Inter-monsoon (Mar-May)
5655,1996-03-01,1996,3,Asia,"China, People's Republic Of",20888,90s,Inter-monsoon (Mar-May)
5656,1996-03-01,1996,3,Asia,Taiwan,42580,90s,Inter-monsoon (Mar-May)
5657,1996-03-01,1996,3,Asia,"Korea, Republic Of",42380,90s,Inter-monsoon (Mar-May)
5658,1996-03-01,1996,3,Asia,India,15635,90s,Inter-monsoon (Mar-May)
5659,1996-03-01,1996,3,Asia,Pakistan,4249,90s,Inter-monsoon (Mar-May)
5660,1996-03-01,1996,3,Asia,"Sri Lanka, Republic Of",4034,90s,Inter-monsoon (Mar-May)
5661,1996-03-01,1996,3,Asia,Saudi Arabia,832,90s,Inter-monsoon (Mar-May)
